age,annual_income,spending_score,debt_ratio,credit_card_count,overdue_count_6m,credit_score,is_overdue
31,4075.0,87,0.2,5,0,403.0,0
35,8226.0,14,0.26,6,0,519.0,0
43,7884.0,27,0.14,3,1,476.0,0
39,1638.0,24,0.82,2,2,158.0,1
30,4599.0,36,0.75,6,2,264.0,1
37,6752.0,80,0.14,2,2,379.0,0
48,4491.0,18,0.29,3,0,410.0,0
67,8117.0,16,0.5,8,3,425.0,0
45,2900.0,12,0.78,3,0,337.0,0
56,4005.0,32,0.32,5,0,418.0,0
56,3052.0,78,0.78,4,1,279.0,1
36,4234.0,63,0.63,8,1,318.0,0
64,2742.0,17,0.83,8,0,233.0,1
65,4886.0,73,0.95,9,1,303.0,0
54,3827.0,55,0.71,1,0,308.0,0
44,6989.0,53,0.97,1,1,348.0,0
61,3826.0,95,0.36,4,2,285.0,1
23,6597.0,1,0.35,5,0,502.0,0
66,8331.0,24,0.22,6,2,349.0,0
31,3739.0,28,0.52,9,0,334.0,0
44,8200.0,86,0.54,7,0,471.0,0
50,5150.0,76,0.66,9,1,312.0,0
65,6635.0,78,0.66,9,1,437.0,0
27,2743.0,48,0.2,9,1,305.0,0
20,3369.0,52,0.12,2,1,337.0,0
54,3510.0,79,0.38,9,0,350.0,0
50,5882.0,39,0.4,1,2,299.0,0
24,3530.0,96,0.32,8,2,261.0,1
54,5189.0,69,0.69,4,0,400.0,0
57,5402.0,19,0.17,5,1,408.0,0
51,7692.0,42,0.69,8,0,469.0,0
45,4676.0,32,0.44,8,0,411.0,0
21,5476.0,24,0.95,2,0,393.0,0
64,2470.0,42,0.55,9,1,274.0,1
68,7505.0,68,0.25,8,0,484.0,0
36,4110.0,86,0.45,7,0,358.0,0
68,6828.0,15,0.38,6,0,408.0,0
36,5004.0,32,0.1,5,0,475.0,0
31,8049.0,16,0.41,4,0,496.0,0
31,3479.0,83,0.26,2,0,410.0,0
45,4957.0,22,0.42,6,1,372.0,0
52,4004.0,90,0.98,9,0,284.0,0
68,5556.0,40,0.78,8,0,432.0,0
64,6475.0,49,0.14,8,0,488.0,0
48,6494.0,86,0.92,8,0,400.0,0
49,6581.0,5,0.51,3,0,446.0,0
64,7250.0,10,0.23,3,1,392.0,0
66,5328.0,7,0.91,6,0,345.0,0
65,1975.0,37,0.57,8,0,299.0,0
21,8823.0,28,0.71,1,0,531.0,0
43,6299.0,22,0.94,3,0,421.0,0
63,7176.0,63,0.89,1,0,460.0,0
26,4968.0,25,0.47,9,3,188.0,1
56,4934.0,46,0.31,2,1,338.0,0
33,3188.0,7,0.2,7,0,388.0,0
38,5937.0,71,0.61,1,1,361.0,0
27,4867.0,99,0.23,2,0,405.0,0
45,1854.0,88,0.93,2,0,284.0,1
36,4203.0,12,0.13,3,0,355.0,0
49,4481.0,85,0.52,7,1,359.0,0
35,3551.0,55,0.69,4,0,346.0,0
36,5160.0,1,0.33,9,0,468.0,0
29,7612.0,43,0.45,2,1,428.0,0
39,3871.0,81,0.28,2,0,399.0,0
20,7991.0,52,0.07,1,1,460.0,0
64,5802.0,77,0.81,5,1,292.0,0
41,3940.0,78,0.12,7,0,418.0,0
28,5006.0,97,0.55,7,0,399.0,0
33,10265.0,44,0.99,5,2,394.0,0
34,2146.0,23,0.47,4,0,317.0,0
65,4242.0,60,0.45,6,2,289.0,1
45,5404.0,78,0.41,7,0,417.0,0
63,4113.0,22,0.88,7,1,338.0,0
39,5105.0,14,0.63,8,3,277.0,1
49,8938.0,86,0.19,6,1,479.0,0
23,4954.0,23,0.53,5,0,384.0,0
26,7936.0,57,0.89,7,0,472.0,0
35,7904.0,33,0.4,5,0,547.0,0
35,6136.0,14,1.0,6,0,375.0,0
37,5341.0,6,0.44,3,3,195.0,1
57,5834.0,23,0.05,6,0,455.0,0
27,5275.0,59,0.86,8,1,348.0,0
66,5587.0,96,0.39,1,0,450.0,0
38,5672.0,36,0.63,4,0,440.0,0
56,5207.0,16,0.36,5,0,377.0,0
51,6688.0,99,0.77,7,0,416.0,0
61,6255.0,5,0.36,6,0,417.0,0
38,6692.0,56,0.95,2,0,397.0,0
29,8226.0,73,0.06,6,0,529.0,0
27,4628.0,24,0.46,9,0,431.0,0
64,3468.0,62,0.77,5,2,295.0,0
40,3695.0,25,0.03,1,2,350.0,0
22,3400.0,40,0.41,3,2,236.0,1
23,4599.0,62,0.88,6,0,336.0,0
48,5987.0,29,0.18,5,0,457.0,0
55,3241.0,57,0.57,2,1,270.0,0
65,2935.0,21,0.75,1,1,278.0,1
22,4050.0,71,0.82,7,0,327.0,0
33,3868.0,73,0.81,9,0,321.0,0
58,3799.0,30,0.92,3,0,345.0,0
51,3323.0,77,0.63,4,1,299.0,0
23,6111.0,55,0.82,7,0,357.0,0
33,3455.0,27,0.93,3,0,331.0,0
52,8760.0,63,0.14,1,1,470.0,0
67,5287.0,72,0.05,8,1,407.0,0
53,6584.0,62,0.49,2,0,384.0,0
39,3570.0,30,0.55,6,0,327.0,0
57,7956.0,97,0.29,3,1,454.0,0
27,4206.0,57,0.7,5,1,310.0,0
47,4822.0,26,0.0,9,2,335.0,0
58,4487.0,37,0.97,4,3,203.0,0
52,6763.0,87,0.8,8,0,351.0,0
53,3559.0,58,0.68,7,0,276.0,0
36,3729.0,29,0.23,3,0,414.0,0
59,4582.0,33,0.5,1,0,390.0,0
50,3633.0,77,0.04,3,1,340.0,0
48,6405.0,42,0.93,5,1,396.0,0
50,2131.0,37,0.5,2,0,312.0,0
59,3697.0,66,0.12,5,0,403.0,0
38,6886.0,26,0.88,5,0,448.0,0
66,6589.0,86,0.23,9,1,499.0,0
35,5600.0,12,0.05,1,1,408.0,0
29,3746.0,9,0.12,8,1,385.0,0
43,5307.0,33,0.35,6,2,318.0,0
64,5246.0,20,0.87,7,0,406.0,0
31,3026.0,99,0.65,8,0,364.0,0
27,3055.0,84,0.06,1,0,396.0,0
39,3836.0,80,0.7,7,1,308.0,0
68,8330.0,93,0.21,5,0,534.0,0
40,4175.0,6,0.04,6,1,360.0,0
37,10890.0,19,0.43,2,1,534.0,0
20,6135.0,24,0.58,5,1,370.0,0
20,11235.0,84,0.27,4,0,609.0,0
34,2318.0,69,0.36,1,2,238.0,1
54,3523.0,13,0.43,1,0,357.0,0
51,8876.0,93,0.12,6,0,544.0,0
35,5258.0,93,0.1,7,0,428.0,0
21,4734.0,69,0.25,5,1,389.0,0
30,6292.0,52,0.63,8,0,385.0,0
28,5161.0,93,0.82,7,1,345.0,0
36,6406.0,70,0.04,6,1,406.0,0
63,4625.0,10,0.31,4,2,319.0,0
32,5305.0,53,0.98,9,1,294.0,0
27,7081.0,78,0.0,3,1,461.0,0
42,9232.0,32,0.17,4,0,550.0,0
25,3593.0,49,0.98,9,0,352.0,0
48,3084.0,74,0.11,5,0,432.0,0
28,7272.0,25,0.04,4,1,493.0,0
35,2770.0,74,0.61,1,1,262.0,1
54,8054.0,82,1.0,6,0,459.0,0
41,4759.0,47,0.38,4,1,333.0,0
69,1500.0,69,0.55,4,1,213.0,1
54,5015.0,17,0.3,7,2,306.0,0
44,6226.0,24,0.52,5,0,403.0,0
66,6155.0,57,0.76,1,1,341.0,0
64,2761.0,81,0.16,7,2,258.0,1
27,10017.0,51,0.0,8,3,467.0,0
62,5730.0,47,0.35,3,1,357.0,0
35,5564.0,88,0.82,5,1,344.0,0
40,4292.0,55,0.99,6,0,294.0,0
31,5814.0,12,0.41,6,0,409.0,0
45,4651.0,25,0.56,3,2,367.0,0
31,8344.0,17,0.24,8,0,531.0,0
46,8726.0,57,0.86,4,0,461.0,0
60,1500.0,20,0.56,9,2,210.0,1
21,7105.0,30,0.81,5,1,386.0,0
32,6635.0,95,0.71,5,0,429.0,0
39,2800.0,99,0.98,6,0,267.0,1
29,5751.0,61,0.03,9,0,434.0,0
31,3385.0,44,0.15,9,0,368.0,0
42,7413.0,64,0.72,7,0,476.0,0
68,5933.0,10,0.43,8,2,305.0,0
30,4225.0,40,0.58,8,2,224.0,1
22,7465.0,11,0.03,7,1,469.0,0
23,6354.0,85,0.3,6,1,423.0,0
58,7983.0,44,0.4,9,1,482.0,0
25,6098.0,40,0.81,8,0,378.0,0
26,1500.0,91,0.37,2,0,285.0,0
37,2614.0,67,0.29,3,0,346.0,0
33,1500.0,92,0.16,4,0,328.0,0
63,4616.0,66,0.98,3,0,338.0,0
39,6953.0,32,0.54,6,0,484.0,0
61,1500.0,30,0.94,3,0,225.0,1
35,6830.0,1,0.55,9,0,406.0,0
53,6430.0,79,0.44,4,1,414.0,0
29,6371.0,23,0.85,4,0,405.0,0
28,9882.0,18,0.46,8,0,512.0,0
64,9897.0,86,0.48,7,0,589.0,0
34,6778.0,76,0.26,6,0,527.0,0
65,3079.0,11,0.85,5,2,181.0,0
31,6453.0,1,0.12,6,0,529.0,0
41,1500.0,13,0.96,8,0,258.0,1
68,5818.0,28,0.02,2,0,476.0,0
41,3156.0,20,0.18,6,1,319.0,0
47,7602.0,75,0.06,6,0,576.0,0
58,3640.0,30,0.59,5,0,390.0,0
33,5666.0,29,0.86,9,0,386.0,0
35,3267.0,52,0.49,9,0,354.0,0
21,10886.0,65,0.78,1,1,521.0,0
55,6142.0,76,0.37,4,1,398.0,0
63,2573.0,23,0.31,7,1,245.0,0
43,6891.0,77,0.86,3,0,428.0,0
57,5635.0,50,0.57,7,1,381.0,0
27,2984.0,6,0.67,9,0,310.0,0
68,7752.0,95,0.24,3,0,518.0,0
61,6401.0,86,0.05,9,0,466.0,0
27,7984.0,87,0.34,8,0,538.0,0
51,4531.0,28,0.94,1,0,333.0,0
22,4745.0,68,0.2,9,0,440.0,0
54,3806.0,81,0.9,4,0,318.0,0
28,5516.0,1,0.96,3,0,344.0,0
42,4655.0,99,0.02,8,0,438.0,0
59,4047.0,28,0.26,4,1,323.0,0
40,5441.0,69,0.48,3,0,439.0,0
31,6796.0,75,0.79,2,2,375.0,0
62,4903.0,54,0.2,9,0,427.0,0
39,4812.0,5,0.49,9,0,461.0,0
24,5417.0,85,0.75,2,1,362.0,0
33,4311.0,25,0.84,1,1,309.0,0
64,3281.0,72,0.89,5,1,268.0,1
62,4040.0,63,0.39,6,1,300.0,0
44,3942.0,77,0.57,4,3,192.0,1
44,3821.0,57,0.25,9,0,378.0,0
30,5222.0,88,0.41,1,1,342.0,0
44,5507.0,94,0.89,4,1,298.0,0
64,3145.0,13,0.19,7,2,268.0,1
53,5564.0,77,0.66,5,0,398.0,0
43,1500.0,57,0.89,3,1,237.0,1
20,8139.0,20,0.04,9,0,503.0,0
29,2535.0,29,0.61,1,0,337.0,0
62,6501.0,85,0.29,1,0,492.0,0
21,5279.0,16,0.81,3,0,353.0,0
54,6728.0,93,0.59,5,1,437.0,0
57,5787.0,67,0.92,2,1,283.0,1
64,3689.0,41,0.13,8,1,356.0,0
44,6883.0,38,0.7,5,2,361.0,0
37,3317.0,12,0.9,7,0,269.0,0
54,3910.0,7,0.72,1,0,349.0,0
43,1500.0,91,0.25,4,0,278.0,1
44,7784.0,1,0.09,4,2,457.0,0
38,4985.0,4,0.35,4,1,330.0,0
28,4196.0,78,0.6,5,1,329.0,0
67,3826.0,85,0.88,9,0,338.0,0
28,5512.0,97,0.55,1,2,320.0,0
68,5287.0,51,0.61,1,2,324.0,0
31,2121.0,58,0.54,5,0,291.0,1
35,6087.0,57,0.19,5,0,478.0,0
60,3739.0,78,0.99,8,0,319.0,0
41,7237.0,91,0.1,3,0,529.0,0
64,9113.0,81,0.35,8,0,550.0,0
53,5159.0,9,0.07,6,0,475.0,0
40,4228.0,4,0.94,6,0,341.0,0
22,2591.0,75,0.91,7,0,287.0,1
67,5020.0,44,0.57,8,1,365.0,0
67,6224.0,33,0.66,1,1,338.0,0
59,6542.0,3,0.26,8,3,353.0,0
50,4191.0,89,0.84,7,2,204.0,1
45,6474.0,96,0.49,3,0,454.0,0
58,4254.0,99,0.7,8,1,296.0,0
36,5764.0,27,0.11,5,0,491.0,0
36,5318.0,16,0.23,3,0,459.0,0
44,4506.0,15,0.41,5,0,389.0,0
38,4534.0,77,0.89,9,0,356.0,0
47,6057.0,84,0.9,5,0,392.0,0
37,4635.0,2,0.26,2,0,426.0,0
23,5273.0,38,0.87,7,1,298.0,0
67,3664.0,52,0.59,9,0,335.0,0
41,4596.0,84,0.43,7,1,374.0,0
39,5910.0,38,0.92,5,0,394.0,0
65,7528.0,28,0.59,7,0,475.0,0
52,6985.0,9,0.31,9,1,409.0,0
68,3918.0,81,0.71,7,0,402.0,0
20,1954.0,70,0.08,8,3,181.0,0
64,3940.0,66,0.5,7,0,446.0,0
33,8116.0,69,0.26,9,0,551.0,0
41,3612.0,69,0.8,9,0,297.0,0
62,6419.0,84,0.1,6,0,440.0,0
34,2733.0,82,0.03,5,0,363.0,0
35,6888.0,96,0.07,6,0,496.0,0
20,5946.0,71,0.85,4,0,401.0,0
41,5760.0,88,0.25,8,0,478.0,0
49,4183.0,80,0.57,4,0,342.0,0
43,5564.0,48,0.6,2,0,368.0,0
25,3047.0,62,0.34,8,0,294.0,0
32,4274.0,42,0.73,8,0,347.0,0
69,3341.0,98,0.45,5,0,327.0,0
28,3212.0,58,0.07,2,0,420.0,0
57,4539.0,20,0.17,2,0,455.0,0
63,10172.0,53,0.76,5,1,460.0,0
48,6521.0,45,0.11,5,0,499.0,0
22,6816.0,20,0.61,1,0,491.0,0
56,8306.0,14,0.88,2,0,479.0,0
68,2080.0,91,0.05,3,0,365.0,0
34,3479.0,47,0.79,1,0,361.0,0
43,1500.0,41,0.05,1,1,291.0,1
35,6555.0,17,0.06,7,2,412.0,0
23,5536.0,74,0.65,3,0,398.0,0
39,3886.0,13,0.81,4,0,360.0,0
33,6036.0,87,0.77,8,1,345.0,0
41,3899.0,18,0.67,8,0,356.0,0
40,7304.0,38,0.81,1,0,421.0,0
52,3812.0,66,0.12,6,0,402.0,0
55,2743.0,63,0.12,2,0,398.0,0
52,8415.0,35,0.68,6,0,468.0,0
48,4362.0,25,0.59,3,0,376.0,0
23,3806.0,21,0.15,5,0,473.0,0
29,3490.0,68,0.85,5,1,264.0,1
31,4377.0,41,0.36,1,0,364.0,0
45,6550.0,61,0.25,4,0,513.0,0
39,3687.0,30,0.77,6,1,270.0,0
47,6852.0,34,0.73,3,0,459.0,0
48,4468.0,64,0.8,6,0,328.0,0
26,6668.0,33,0.84,4,0,403.0,0
68,5782.0,79,0.32,5,0,410.0,0
60,4844.0,63,0.3,6,0,365.0,0
48,3049.0,86,0.02,4,1,329.0,0
27,4364.0,49,0.66,7,0,377.0,0
40,3458.0,72,0.15,8,1,412.0,0
39,6142.0,14,0.42,4,0,483.0,0
35,6805.0,49,0.26,3,1,446.0,0
62,7956.0,12,0.16,1,2,416.0,0
40,4969.0,80,0.07,9,0,485.0,0
40,4917.0,46,0.19,4,0,426.0,0
52,5206.0,78,0.49,7,1,351.0,0
56,3680.0,19,0.89,3,0,320.0,0
50,2469.0,68,0.42,4,0,295.0,0
40,4949.0,65,0.52,3,0,394.0,0
67,7726.0,94,0.84,5,0,458.0,0
30,6350.0,16,0.99,4,0,376.0,0
26,1500.0,63,0.67,4,0,223.0,1
31,4229.0,29,0.28,5,0,465.0,0
67,1500.0,50,0.42,5,0,320.0,0
22,6751.0,69,0.94,5,1,358.0,0
68,5065.0,1,0.84,6,0,367.0,0
28,2335.0,40,0.51,3,0,351.0,0
59,4058.0,40,0.51,3,1,344.0,0
27,6989.0,23,0.76,5,0,412.0,0
27,3717.0,43,0.26,3,0,379.0,0
40,8343.0,57,0.13,4,0,524.0,0
64,4160.0,20,0.47,2,0,321.0,0
55,8898.0,75,0.24,2,1,498.0,0
44,5222.0,60,0.03,3,1,431.0,0
37,6839.0,93,0.5,3,0,455.0,0
56,8906.0,45,0.73,6,0,531.0,0
59,7237.0,76,0.56,7,1,410.0,0
61,6298.0,74,0.66,3,1,399.0,0
45,1612.0,76,0.4,3,0,324.0,0
56,2843.0,5,0.03,8,2,292.0,0
32,8693.0,96,0.68,7,0,521.0,0
25,4356.0,85,0.01,4,0,478.0,0
32,4854.0,10,0.36,3,1,400.0,0
48,6654.0,36,0.09,4,1,435.0,0
45,1656.0,97,0.78,3,2,188.0,1
29,5524.0,15,0.21,8,0,466.0,0
43,7933.0,64,0.83,6,1,419.0,0
67,2701.0,28,0.72,2,0,291.0,1
45,4876.0,88,0.1,5,0,458.0,0
52,5626.0,55,0.85,3,0,451.0,0
47,5903.0,83,0.38,9,2,373.0,0
57,5598.0,84,0.36,3,1,328.0,0
21,7084.0,72,0.57,6,0,507.0,0
54,6797.0,36,0.58,5,2,281.0,1
66,6273.0,17,0.58,7,1,351.0,0
50,5029.0,22,0.23,5,0,406.0,0
66,3917.0,57,0.24,1,0,381.0,0
66,4367.0,21,0.07,6,0,401.0,0
39,5818.0,89,0.26,2,1,411.0,0
67,1937.0,91,0.91,9,1,250.0,1
64,3917.0,59,0.6,3,2,253.0,1
52,5830.0,29,0.69,1,0,352.0,0
45,7320.0,59,0.11,6,0,502.0,0
37,5249.0,26,0.13,7,0,411.0,0
62,3181.0,86,0.05,9,0,389.0,0
63,7387.0,78,0.17,8,1,481.0,0
45,1500.0,83,0.35,3,0,310.0,0
64,8710.0,92,0.09,2,1,483.0,0
31,6388.0,52,0.57,4,0,462.0,0
57,3792.0,61,0.59,1,0,419.0,0
61,1787.0,12,0.77,5,1,253.0,1
44,5307.0,41,0.14,2,0,397.0,0
54,5243.0,7,0.63,5,0,409.0,0
43,5772.0,26,0.76,7,0,375.0,0
45,6005.0,78,0.52,9,2,337.0,0
44,7055.0,9,0.98,8,0,449.0,0
41,4436.0,87,0.9,2,1,260.0,1
25,5857.0,85,0.74,1,0,383.0,0
53,3281.0,41,0.21,7,0,385.0,0
57,3732.0,19,0.17,6,0,402.0,0
60,6333.0,92,0.07,9,1,417.0,0
25,3654.0,5,0.16,9,0,390.0,0
48,7081.0,80,0.67,8,0,433.0,0
40,2384.0,66,0.62,5,0,324.0,0
36,7987.0,74,0.67,3,1,520.0,0
62,3401.0,35,0.86,5,0,315.0,0
61,4378.0,64,0.49,2,0,393.0,0
34,5198.0,62,0.29,7,1,346.0,0
33,5340.0,6,1.0,7,0,387.0,0
67,1500.0,51,0.72,5,0,264.0,1
41,4138.0,37,0.07,7,0,417.0,0
28,7080.0,2,0.11,7,0,522.0,0
26,6116.0,47,0.13,8,2,403.0,0
69,6161.0,8,0.22,9,1,452.0,0
58,4337.0,39,0.28,6,2,259.0,1
69,6291.0,49,0.63,5,1,394.0,0
68,6482.0,16,0.84,4,0,447.0,0
69,4200.0,18,0.05,8,0,472.0,0
39,3646.0,19,0.3,9,1,351.0,0
39,2758.0,73,0.06,7,1,317.0,0
46,8570.0,31,0.1,5,1,477.0,0
65,8971.0,13,0.47,9,0,513.0,0
40,6729.0,75,0.98,2,0,417.0,0
53,8638.0,32,0.43,7,1,500.0,0
52,4687.0,36,0.12,1,0,403.0,0
36,8804.0,40,0.37,8,1,454.0,0
51,5963.0,72,0.26,4,0,449.0,0
32,2071.0,59,0.93,1,1,197.0,1
34,2232.0,37,0.24,8,0,339.0,0
60,3081.0,7,0.59,5,0,338.0,0
51,5281.0,64,0.31,2,1,420.0,0
25,4953.0,19,0.85,7,1,268.0,1
39,4308.0,77,0.44,4,0,382.0,0
23,3282.0,20,0.67,4,0,341.0,0
32,6208.0,90,0.69,2,0,454.0,0
65,1500.0,49,0.62,4,2,185.0,1
22,6753.0,58,0.05,2,0,503.0,0
65,10603.0,57,0.16,9,0,642.0,0
41,5277.0,74,1.0,9,0,383.0,0
43,6162.0,11,0.58,8,1,439.0,0
25,3179.0,15,0.89,1,1,274.0,0
67,5772.0,83,0.75,9,0,391.0,0
46,6059.0,59,0.59,5,1,374.0,0
38,4282.0,59,0.31,4,1,308.0,0
57,5412.0,29,0.95,6,0,394.0,0
64,7404.0,6,0.64,8,1,437.0,0
49,4642.0,24,1.0,6,1,262.0,1
37,5614.0,64,0.1,7,1,410.0,0
58,5083.0,20,0.89,7,0,378.0,0
48,4142.0,94,0.94,6,1,323.0,0
62,4692.0,65,0.82,6,1,310.0,0
24,6312.0,77,0.46,1,1,437.0,0
56,1500.0,97,0.51,9,0,251.0,1
64,5449.0,50,0.08,7,0,462.0,0
41,5509.0,10,0.87,7,0,361.0,0
